trial_id,n_robots,frames_to_stability,boundary_crossings,consensus_frame,final_comfortable,final_lonely,final_crowded
1,30,39,2,34,30,0,0
2,30,22,1,17,30,0,0
3,30,20,3,15,30,0,0
4,30,34,6,29,30,0,0
5,30,42,10,22,30,0,0
6,30,19,6,14,30,0,0
7,30,35,0,17,30,0,0
8,30,20,0,15,30,0,0
9,30,22,0,17,30,0,0
10,30,30,3,25,30,0,0
11,30,22,1,17,30,0,0
12,30,17,0,12,30,0,0
13,30,24,2,19,30,0,0
14,30,29,6,24,30,0,0
15,30,26,0,21,30,0,0
16,30,49,31,44,30,0,0
17,30,51,31,13,30,0,0
18,30,19,0,14,30,0,0
19,30,82,55,77,30,0,0
20,30,27,1,22,30,0,0
21,30,28,0,23,30,0,0
22,30,20,0,15,30,0,0
23,30,24,5,19,30,0,0
24,30,19,12,14,30,0,0
25,30,28,0,23,30,0,0
26,30,41,11,36,30,0,0
27,30,74,29,69,30,0,0
28,30,56,5,51,30,0,0
29,30,56,3,51,30,0,0
30,30,26,3,21,30,0,0
